State,EV,Biden,Trump
Alabama,1,1,0
Alaska,1,1,0
Arizona,1,1,0
Arkansas,1,1,0
California,1,1,0
Colorado,1,1,0
Connecticut,1,1,0
Delaware,1,1,0
Florida,1,1,0
Georgia,1,1,0
Hawaii,1,1,0
Idaho,1,1,0
Illinois,1,1,0
Indiana,1,1,0
Iowa,1,1,0
Kansas,1,1,0
Kentucky,1,1,0
Louisiana,1,1,0
Maine,1,1,0
Maryland,1,1,0
Massachusetts,1,1,0
Michigan,1,1,0
Minnesota,1,1,0
Mississippi,1,1,0
Missouri,1,1,0
Montana,1,1,0
Nebraska,1,1,0
Nevada,1,1,0
New Hampshire,1,1,0
New Jersey,1,1,0
New Mexico,1,1,0
New York,1,1,0
North Carolina,1,1,0
North Dakota,1,1,0
Ohio,1,1,0
Oklahoma,1,1,0
Oregon,1,1,0
Pennsylvania,1,1,0
Rhode Island,1,1,0
South Carolina,1,1,0
South Dakota,1,1,0
Tennessee,1,1,0
Texas,1,1,0
Utah,1,1,0
Vermont,1,1,0
Virginia,1,1,0
Washington,1,1,0
West Virginia,1,1,0
Wisconsin,1,1,0
Wyoming,220,1,0
Washington D.C.,269,0,1
